,Place,Event,Time,Date,Subject
2909,"['Balkans', 'Gourko', 'the 4th', 'the passage']","['a Russian army', 'the bulk']",[],['the 4th of January 1878'],[]
2910,"['January', 'N.W.']","['It', 'the cyclones']",[],['January'],[]
2911,"['Russia', 'Poland', 'Russia', 'Poland', 'Caucasia', 'the following table', 'the different classes', 'January 1st', 'them']",['the peasants'],[],"['January 1st 1903', '1861']",['Down']
2912,"['Poland', 'Russia', 'some time', 'the subject', 'his protection', 'January', 'the understanding']","['Tsar Alexius', 'he', 'intervention', 'he', 'a great Cossack assembly']",[],['January 1654'],"['Tsar Alexius', 'Cossack']"
2913,"['the peace', 'January', 'the Danubian principalities', 'Constantinople']","['she', 'she', 'the Turks', 'the realization']",[],['January 1792'],"['Jassy', 'Dniester']"
2914,"[""Prince Lobanov's death""]",['this tendency'],[],['January 1897'],"[""Prince Lobanov's"", 'Muraviev']"
2915,"[""Speranski's plan"", 'only the establishment', 'his lifetime']",[],[],"['January 1st, 1810']",[]
2916,"['January', 'the Imperial Council', 'members', 'the zemstvos', 'the provinces']",['Count Loris-Melikov'],[],['January 1881'],['Loris-Melikov']
2917,"['Norfolk', 'January', 'the duke', 'treason']","['he', 'who']",[],['January 1398'],[]
2918,"['the friends', 'January']","['The first danger', 'who']",[],['January 1400'],['Richard']
2919,"['January', ""the king's half-brother""]",['Arundel'],[],['January 1410'],['Thomas Beaufort']
2920,"['Madrid', 'Valenzuela', 'January', 'the queen-regent', 'Madrid', 'refuge']","['a palace revolution', 'Valenzuela']",[],['January 1678'],[]
2921,"['America', 'New York', 'America', 'January', 'America', 'the 9th']",['it'],[],"['January 1829', 'the 9th of August 1829']",[]
2922,"['the United States', 'the United States', 'the 1st', 'continuous brakes', 'the engine']","['the Safety Appliance Act', 'which']",[],['the 1st of January 1898'],[]
2923,"['Venice', 'January', 'Venice']",['they'],[],['January 1537'],[]
2924,['the 30th'],['She'],[],['the 30th of January 1164'],[]
2925,"['Plate', 'the river Plate', 'government']",[],[],"['a period of', 'six years', 'ten years', 'January 1, 1852']",[]
2926,['January'],"['He', 'Secretary Wilson', 'the queen']",[],['January 1578'],['Wilson']
2927,['January'],[],[],['January 1553'],[]
2928,"['a student', 'January']","['he', 'the uninjured eye']",[],"['1814', 'January 1815']",[]
2929,"['the morning', 'the afternoon']","['a second attack', 'he']","['the morning of the 27th of January 1859', 'the afternoon']",['sixty-third year'],[]
2930,"['Easter', 'their return', 'consequence', 'the 25th']",['Henry'],[],['about the 25th of January 15333'],"['Anne', 'Henry']"
2931,"['Horace', 'ordinary standards', 'January', 'Esher', 'the care']",['His unexpected recovery'],[],['January 1752'],"['Surrey', 'Dr Francis']"
2932,"['England', 'the episode', 'January']",['he'],[],['January 1763'],[]
2933,['London'],['fever'],[],"['January 6, 1794']",[]
2934,['January'],[],[],"['January 1910', 'July 1908', '1909']",[]
2935,"['the Humboldt Valley', 'the Carson Valley', 'unsuccessful attempts', 'the mice', 'the United States Biological Survey', 'strychnia sulphate', 'the Humboldt Valley', 'January', 'April']","['the farmers', 'alfalfa hay', 'a similar plague']",[],"['January 1908', 'April 1908.5']",['Biological Survey']
2936,[],[],[],"['1900', 'the 1st of January 1909', '1,866.92']",[]
2937,['Chaillot'],['she'],[],['January 1665'],['Mlle de La Fayette']
2938,"['Naples', 'Foggia', 'Naples', 'a new fleet', 'Foggia', 'the 7th']","['Charles', 'he']",[],['the 7th of January 1285'],['Charles']
2939,"['his death', 'the 1st']",['he'],[],"['1846', 'the 1st of January 1849']",[]
2940,"['his perplexities', 'the 8th']",['Death'],[],['the 8th of January 1198'],[]
2941,"['London', 'Ormonde', 'the 4th']",['he'],[],['the 4th of January 1562'],[]
2942,"['Donegal', 'Spain', 'an inconclusive campaign', 'haste', 'Spain']","['he', 'he']",[],['January 1600'],['Munster']
2943,"['January', 'an equally virulent Vengeur']",[],[],['January 1871'],[]
2944,['the tenth day'],['It'],[],"['the tenth day of the tenth month', 'January 587']",[]
2945,['a friendly manner'],"['The emperor', 'Christians']",[],"['January 2, 1782']",[]
2946,"['this house', 'his friends', 'the 7th']",['the poet'],[],['the 7th of January 1758'],[]
2947,"['England', 'Paris', 'the defeat', 'the rest', 'the revolution', 'England', 'the war', 'the 18th']","['Gramont', 'he', 'he']",[],"['August 4) Gramont', 'August 9', 'September', 'the 18th of January 1880']",[]
2948,"['Hanover', 'Hanover', 'January', 'her brother']","['she', 'she', 'she']",[],"['1822', '1828', 'January 1800']",[]
2949,['the 9th'],['She'],[],['the 9th of January 1848'],[]
2950,['the 21st'],[],[],['the 21st of January'],[]
2951,"['Canea', 'the powers', 'the administrative and financial situation', 'January', 'Canea', 'the following June']","['Venezelo', 'A commission', 'a constituent assembly']",[],"['January 1906', 'June']",['Venezelo']
2952,"['Gottingen', 'the 22nd']",['He'],[],['the 22nd of January 1840'],[]
2953,"['Gulf', 'the Gulf', 'sand-bars', 'high-water']",[],[],['January to April'],[]
2954,['January'],['-third'],[],"['January, February and March', 'July', 'the wet months']",[]
2955,"['the Wednesday', 'the first Monday']",[],[],"['Wednesday', 'the first Monday in January']",[]
2956,"['the 26th', 'the manufacture', 'the state', 'effect', 'the 1st']","['the people', 'the prohibition act']",[],"['May 1908', 'the 1st of January 1909']",[]
2957,"['January', 'all the voters', 'representation', 'districts', 'public taxes', 'districts', 'Federal representation']","['the legislature', 'this bill', 'it']",[],['January 1835'],[]
2958,"['Poland', 'Cracow', 'Warsaw', 'the Russians', 'Poland', 'Cracow', 'January', 'king', 'June']",['his troops'],[],"['January 1734', 'June 1736']","['Stanislaus Leszczynski', 'Augustus']"
2959,"['France', 'the 21st', 'the royalists', 'himself']",['the comte de Provence'],[],"['the 21st of January 1793', 'a week later']",[]
2960,"['Temple', 'the 19th']","[""Simon's wife"", 'the Simons']",[],['the 19th of January 1794'],['Simon']
2961,"['Vilna', 'Vilna', 'the 18th', 'subsequent treaties']",[],[],['the 18th of January 1401'],[]
2962,"['January', 'the growing influence', 'the king']","['which', 'Conway']",[],['January 1768'],['Bedford']
2963,"['Edinburgh', 'Edinburgh', 'the 28th', 'indifference', 'Henry Dundas']","['he', 'his grandfather', 'he']",[],"['the 28th of January 1784', '1791', '1795']","['Henry Dundas', 'Viscount Melville']"
2964,"['Wellington', 'Lancaster', 'touch', 'foreign politics', 'chancellor', 'January']",['He'],[],"['1827', 'January 1828']",['George Canning']
2965,[],['His observations'],[],['January 1672'],[]
2966,"['Bovillae', 'accident', 'the Appian Way']",['the two leaders'],[],"['53', 'January 52']",['Milo']
2967,"['January', 'his first great speech']",['he'],[],['January 1814'],[]
2968,"['Missouri', 'East', 'West', 'New England', 'hatred', 'the 19th']","['Senator Benton', 'it']",[],"['the 29th of December 1829', 'the 19th of January 1830']",['Benton']
2969,"['Hayne', 'which', 'a full exposition']","[""Webster's brief reply"", 'he', 'it']",[],"['the 26th and 27th of January', 'more than forty years']","['Webster', 'Webster', 'Hayne']"
2970,"['December', ""Pitt's first ministry""]",['he'],[],"['the 28th of January to the 16th of April 1783', 'December 1783', 'August 1788']",['Pitt']
2971,"['Alsace', 'the bill', 'the German parliament', 'May', 'the German emperor', 'the 1st']",[],[],"['May 1871', 'the 1st of January 1874']",['Lorraine']
2972,"['the 5th', 'a force', 'Boo British troops']",[],[],['the 5th of January 1781'],['Boo British']
2973,"['check', 'October', 'the cracks']",['that'],[],"['October', 'December', 'January']",[]
2974,"['January', 'the more exposed and higher districts']","['The cold winds', 'which']",[],"['January', 'February']",[]
2975,"['London', 'January', 'a London cow-shed']",[],[],['January 1898'],[]
2976,"['Edgefield', 'South Carolina', 'the close', 'his home', 'the 25th']","['he', 'he']",[],['the 25th of January 1869'],[]
2977,"['Kildrummy', 'January', 'the island']",['Bruce'],[],['January 1307'],['Bruce']
2978,"['Lethington', 'Calais', 'the Forth', 'January', 'a storm']",[],[],['January 1560'],"['William Winter', 'Elbeuf']"
2979,"['proof', 'the 7th', 'the eldest surviving son']",['who'],[],['the 7th of January 1768'],['Joseph']
2980,"['January', 'junior lieutenant']",['he'],[],['January 1786'],[]
2981,"['Italy', 'January']","['he', 'which']",[],['January 1796'],[]
2982,"['Rivoli', 'Italy', 'the crowning victory']","['Mantua', 'the Austrian rule']",[],['14th of January 1797'],"['Mantua', 'Bonaparte']"
2983,"['the 15th', 'a plebiscite', 'January', 'it']",['it'],[],"['the 15th of December 1799', 'January 1800']",[]
2984,"['this extraordinary proceeding', 'a special decree']",['The measure'],[],['5th of January 1801'],['Jacobins']
2985,"['the very man', 'direct lineal descent', 'the spring', 'the salvation', 'the affair']","['which', 'who', 'the dictatorial powers', 'It']",[],"['the spring of 1793', 'October 1800', '31st of January 1801', '(21st of April']",[]
2986,"['the 30th', 'extenso', 'Colonel Sebastiani', 'the Levant']","['he', 'the official French paper']",[],['the 30th of January'],"['Sebastiani', 'Levant']"
2987,"['all republican forms', 'the 1st']","['which', 'which']",[],"['the 1st of January 1806', 'the 2nd of December 1804']",['Pius VII.']
2988,"['Germany', 'Paris', 'that town', 'the 1st', 'Paris']","['he', 'which']",[],['the 1st of January 1809'],[]
2989,"['France', 'the 6th']",['His successor'],[],['the 6th of January 1810'],['Charles XIII']
2990,"['Brittany', 'Netherlands', 'North Germany', 'January', 'the recruits', 'Brittany']","['the senate', 'mobile columns']",[],"['January 1813', 'under twenty years of age']",[]
2991,"['January', 'terms', 'debate']","['the spiritual forces', 'he']",[],['January'],[]
2992,"['Arlington Street', 'London', 'his house', 'the 22nd']",['He'],[],['the 22nd of January 1763'],[]
2993,"['Laon', 'Laon', 'royal edict']",['he'],[],['January 24th'],[]
2994,"['a former occasion', 'danger']","['who', 'the Jacobin club']",[],['the 7th of January 1'],"['Robespierre', 'Camille', 'Jacobin']"
2995,"['Georgia', 'Georgia', 'the Confederate States', 'the Georgia legislature', ""that state's secession convention""]","['he', 'Georgia', 'he']",[],"['November 1860', 'January 1861']",[]
2996,"['Bielowice', 'Lithuania', 'Warsaw', 'a Swedish governor-generalship', 'January', 'Bielowice', 'Warsaw']","['Charles', 'Charles', 'the elector', 'he']",[],"['July 1701', 'January 1702', 'the 14th of May']","['Charles', 'Charles', 'Saxony']"
2997,"['the time', 'January', 'solid masses', 'its passage', 'the ground']","['the army', 'wine', 'birds', 'saliva']",[],['January 1709'],[]
2998,"['Saturnalia', 'Rome', 'spite', 'the people', 'the Kalends', 'all their old licence']",['which'],[],['January'],[]
2999,"['Egypt', 'Egypt']",[],[],['the 14th of January'],[]
3000,"[""his father's death""]",['He'],[],['the 14th of January 1766'],[]
3001,['a few valleys'],['February'],[],"['July', 'the warmest month', 'January', 'February', 'January']",[]
3002,"['the first Monday', 'January']",[],[],"['Biennial', 'the first Monday in January']",[]
3003,['January'],[],[],"['January 1908', '1907']",[]
3004,"['municipal elections', 'January', 'the election', 'his recall', 'the state election', 'November', 'the second year', 'the summary removal', 'a city council', 'three years', 'the governor', ""the mayor's preparation"", 'which', 'the council']","['It', 'a majority']",[],"['January', 'four years', 'the end of two years', 'November', 'the second year', 'three years']",[]
3005,"['the city', 'the creation']",[],[],"['up to the 31st of January 1908', '1898']",[]
3006,"['Duisburg', 'consequence', 'the 31st']","['He', 'he']",[],"['1649', '1651', 'the 31st of January 1665']",[]
3007,[],[],[],['the 18th of January 1419'],['Wenceslaus']
3008,"['the Scilly Islands', 'the month', 'some years', 'the entrance']",['the first large schools'],[],"['the month of February', 'some years', 'the end of January']",[]
3009,"['the end', 'the beginning', 'the ice']","['The lake', 'it']",[],"['the end of December', 'the beginning of January', 'the second half of May']",[]
3010,"['the Handbook', 'the Imperial Institute Cotton Exhibition', 'one date']",['The following table'],[],"['1905', 'January 16, 1905']",[]
3011,[],[],[],"['January', 'January', 'present month', 'January-February', 'February-March', 'March-April', 'April-May', 'May-June, June-July', 'July-August']",[]
3012,"['Egypt', 'Amalric', 'power', 'his position', 'the death']","['Nureddin', 'Manuel', ""Nureddin's Kurdish lieutenant"", 'he', 'he', 'his nephew']",[],"['January 1169', 'March 1169', '1171']","['Nureddin', 'Nureddin', 'Saladin', 'Sala-ed-din']"
3013,"['Berlin', 'Berlin', 'the 24th']",['He'],[],['the 24th of January 1877'],[]
3014,['the 1st'],['he'],[],['the 1st of January 138'],[]
3015,"['Florida', 'Palm Beach', 'Miami', 'Tampa', 'White Springs', 'Hampton Springs', 'Worthington Springs', 'Orange Springs', 'account']",['Florida'],[],['the season from January to April'],"['St Augustine', 'Ormond', 'Daytona']"
3016,"['the 1st', 'refunding bonds', 'educational funds']",['the debt'],[],['the 1st of January 1909'],[]
3017,"['Florida', 'Florida', 'the Confederate States of America', 'the 10th', 'an ordinance', 'a state convention']","['which', 'Florida']",[],['the 10th of January 1861'],[]
3018,"['the Orange River', 'South Africa', 'January', 'Fernando Po', 'December']",[],[],"['January 1870', 'December of the same year']",['Aliwal North']
3019,"['Hyde', 'Clarendon', 'Hyde', 'the 20th', 'a few hours', 'the execution']","['He', 'he']",['a few hours'],['the 20th of January 1661'],['Charles I.']
3020,['Mackinac'],['the ice'],[],['the 17th of April'],[]
3021,"['Europe', 'France', 'Europe', 'Madison', 'January', 'his acceptance', 'April']",['he'],[],"['January 1816', 'April 1816']",['Madison']
3022,['January'],['he'],[],['January 1897'],[]
3023,"['a code', 'the 1st', 'the legislature']",[],[],"['1848', 'the 1st of January 1850']",[]
3024,"['New York City', 'the Democratic party', 'January', 'Congress']",['he'],[],"['1876', 'January to March 1877']",[]
3025,"['France', 'January', 'regent', 'Joseph Bonaparte', 'his absence']",['he'],[],['January 1814'],['Joseph Bonaparte']
3026,['January'],"['She', 'she']",[],"['1817', 'January 1820']",[]
3027,"['Venice', 'Barcelona', 'Lent', 'Venice', 'the middle', 'a while', 'Barcelona', 'Lent']","['Ignatius', 'he', 'he']",[],['the middle of January 1524'],[]
3028,"['Venice', 'Rome', 'Palestine', 'a journey', 'Venice', 'January', 'the beginning', 'Rome', 'the proposed voyage']","['his companions', 'they', 'Ignatius']",[],"['fifty-four days', 'January 1537', 'the beginning of Lent']",[]
3029,"['Hudson', 'Paramus', 'New Jersey', 'camp followers', 'the battle', 'November']",['the British army'],[],"['November 1776', 'the end of January 1777']",['Benjamin Lincoln']
3030,[],[],[],"['months', 'October', 'November and December', 'December, January,', 'February', 'March']",[]
3031,"['Kruipetsky', 'Kiev', 'January', 'him', 'February', 'the Kruipetsky monastery', 'the name', 'good works']","['we', 'he']",[],"['January 1671', 'February the same year', '1680']",[]
3032,['the 29th'],"['Henry Clay', 'which']",[],['the 29th of January 1850'],['Henry Clay']
3033,"['Paris', 'Paris', 'the 13th']",['He'],[],['the 13th of January 1827'],[]
3034,"['Dresden', 'Rienzi', 'Dresden', 'the 2nd']",[],[],['the 2nd of January 1843'],[]
3035,"['Palermo', 'the following year', 'Palermo', 'the 13th']",[],[],"['the following year', 'the 13th of January 1882']",[]
3036,['Seathwaite'],[],[],"['The months', 'November, December and January and September']",[]
3037,['January'],"['This post', 'he', 'Lord Canning']",[],"['January 1846', 'January to July of that year']",['Peel']
3038,"['Derby', 'Aberdeen', 'the earl', 'the formation']","['He', 'he']",[],['January 18J3'],[]
3039,"['Neva', 'observations']",[],[],"['1706 to 1899', 'the mean day', 'November 25th', 'October 28th', 'the latest', 'January 9th', 'the next latest December 26th']",[]
3040,"['the deaths', ""his father's command"", 'the 11th', 'the government', 'which', 'the following January']",['he'],[],"['September 813', 'January']",['Louis']
3041,"['Valencia', 'Spain', 'Borgia', 'Xativa', 'Valencia', 'Spain', 'him', 'the elevation', 'the papacy', 'Calixtus III']",[],[],"['January 1, 1431']","['Lanzol', 'Llancol']"
3042,"['the 25th', 'his son']",['Ferdinand'],[],['the 25th of January 1494'],['Alphonso II']
3043,"['Naples', 'the bishop', ""a cardinal's hat"", 'Naples', 'the French army', 'Charles']","['Alexander', 'the king', 'he', 'who']",[],"['January 16, 1495']","['St Malo', 'Jem', 'Charles', 'Civitavecchia']"
3044,"['Urbino', 'Gandia', 'them', 'Guidobaldo duke', 'Soriano']","['the rest', 'the papal troops']",[],['January 1497'],"['Guidobaldo', 'Soriano']"
3045,"['Spain', 'France', 'Venice', 'spite', 'France', 'January', 'Venice']","['Alexander', 'he']",[],['January 1499'],"['Louis', 'Charles']"
3046,"['Ferrara', 'Italy', 'heiress']",['he'],[],['January 1502'],[]
3047,"['Charles', 'January', 'order']",[],[],['January 13 54'],[]
3048,['the 1st'],['Charles'],[],['the 1st of January 1387'],['Charles']
3049,"['Paris', 'the 18th']",['He'],[],"['the 18th of January 1878', '1837']",[]
3050,[],[],[],"['Four seasons', 'January - April', 'May - June', 'July - September', 'the season', 'October - December']",[]
3051,"['Nogal', 'the 10th', 'Jidballi', 'the Nogal country', 'loon men']",[],[],"['the 10th of January 1904', '58']",['Jidballi']
3052,"['Great Britain', 'Italy']",['An agreement'],[],"['February 1888', 'January 1900 and July 1901']",[]
3053,"['Benadir', 'Italy', 'an agreement', 'return']",['the sultan'],[],['the 13th of January 1905'],[]
3054,"['Bursian', 'Jahresbericht', 'the Oxyrhynchus fragment']",[],[],['January 1898'],['C. van Jan']
3055,['the 23rd'],['He'],[],['the 23rd of January 1855'],[]
3056,"['Perugia', 'Italy', 'London', 'Paris', 'January', 'the request', 'the rank', 'Italy']",['he'],[],"['January 1846', 'February', 'March', 'April']",[]
3057,"['the 2nd', 'the 1st']","['Wilberforce', 'the trade']",[],"['the 2nd of April 1792', 'the 1st of January 1796']",[]
3058,"['the 2nd', 'force']",['it'],[],"['the 2nd of March 1807', '1st January 1808']",[]
3059,"['England', 'the 21st', 'February', 'a compensation']",['England'],[],"['January 1815', 'the 21st of January 1823', 'February 1830']",[]
3060,"['Colombia', 'slaves', 'the 31st', 'Colombia', 'the 16th']",['The government'],[],"['the 31st of January 1813', 'the 16th of July 1821', 'their eighteenth year']",[]
3061,"['Moscow', 'a time', 'the petition', 'her own estate', 'the 4th']",['she'],[],"['the closing years', 'the 4th of January 1810']",[]
3062,"['his sermon', 'The Circumcision', 'the university', 'the 1st']",[],[],[],[]
3063,"['obscurity', 'Bermondsey Abbey', 'the 3rd']","['They', 'Catherine', 'she']",[],"['1436', 'the 3rd of January 1437']","['Tudor', 'Catherine']"
3064,"['Kordofan', 'the dismissal', 'January']","['This', 'who']",[],['January 1883'],['Suliman Niazi']
3065,"['Shawbury, Shropshire', 'nothing', 'two churches']",['he'],[],"['October', 'January 11th, 1784']","['Welsh', 'John Mayor']"
3066,"['Wales', 'Wales', 'the 30th', 'March']","['Charles', 'the British and Foreign Bible Society']",[],"['the 30th of January 1804', 'March the 7th']",['Charles']
3067,"['New Orleans', 'the War', 'the American forces', 'Chalmette', 'New Orleans', 'the 8th']",['the War of 1812'],[],['the 8th of January 1815'],[]
3068,"['Louisiana', 'the Confederate States', 'an ordinance', 'the 26th']",['Louisiana'],[],['the 26th of January 1861'],[]
3069,"['the United States', 'Zanjon', 'alternations', 'January', 'the war']","['Intervention', 'Martinez Campos', 'which']",[],['January 1878'],['Martinez Campos']
3070,"['the 1st', 'American "" military']",['Spanish authority'],[],"['the 1st of January 1899', 'January 1, 1899 - May 20, 1902']",[]
3071,"['Nassau', 'January', 'Nassau']",['no less than 20 steamers'],[],['January and February 1865'],[]
3072,"['Konia', 'Euphrates', 'Nisibin', 'Mosul', 'Tigris', 'Bagdad', 'Kerbela', 'Nejef', 'Basra', 'the Persian Gulf', 'January']",[],[],['January 1902'],['Bosporus']
3073,"['Russia', 'the 8th', 'Radzyn', 'Russia']",['the Turks'],[],"['1678', 'the 8th of January 1681']",[]
3074,"['Russia', 'Turkey', 'which', 'a convention', 'Constantinople', 'the 8th', 'the treaty']","['Potemkin', 'Turkey']",[],"['Five years later', 'the 8th of January 1784']","['Tatars', 'Kuchuk Kainarji', 'Ainali Ka']"
3075,"['Prussia', 'Turkey', 'a victory', 'the 31st', 'the war']","['the condition', 'this hope', 'Prussia', 'she']",[],['the 31st of January 1790'],['Sultan Selim']
3076,"['Russia', 'Great Britain', 'the 23rd']",[],[],"['the 23rd of December 1798', 'the 5th of January 1799']",[]
3077,"['St Petersburg', 'the Ottoman Empire', 'the reality', 'conversation', 'the Ottoman Empire', 'the Sick Man']",['Lord Aberdeen'],[],"['January 1853', '1844']",['Hamilton Seymour']
3078,"['the Black Sea', 'the 30th', 'the harbour', 'the 3rd', 'their harbours']","['the Russian fleet', 'the combined French and British fleets']",[],"['the 30th of November', 'the 3rd of January']",['Sinope']
3079,"['San Stefano', 'the 31st', 'Adrianople', 'San Stefano', 'the 3rd']",[],[],"['the 31st of January 1878', 'the 3rd of March 1878']",[]
3080,['the 28th'],['He'],[],['the 28th of January'],[]
3081,"['Konigsberg', 'Posen', 'Paris', 'the 10th', 'Eugene Beauharnais', 'Paris']","['Konigsberg', 'Murat', 'he']",[],['the 10th of January'],['Eugene Beauharnais']
3082,"['the troops', 'Blucher', 'the 1st']","['a prolonged halt', 'ultimately the Young German party', 'the Silesian army']",[],['the 1st of January 1814'],['Blucher']
3083,"['the 25th', 'the valley']",['Blucher'],['the afternoon of the 28th'],['the 25th of January'],"['Blucher', 'Nancy']"
3084,"['Mediterranean', 'the 23rd', 'Toulon', 'the 18th']","['He', 'he']",[],"['the 23rd of January 1801', 'the 18th of February']",[]
3085,"['Marmorice Bay', 'Asia Minor', 'Egypt', 'Asia Minor', 'the 31st', 'the Turks', 'some delay', 'Egypt']",['It'],[],"['the 31st of January', '8th of March']",[]
3086,"['the 11th', '5 sail', 'the British forces', 'the coast']",['Admiral Missiessy'],[],['the 11th of January 1805'],['Missiessy']
3087,"['Missiessy', 'a moment', 'the port']",['Villeneuve'],[],['the 17th of January 1805'],"['Villeneuve', 'Nelson']"
3088,"['Sweden', 'the king']",['the marriage'],[],"['twelve years', 'the 14th of January 1786']",[]
3089,"['the successful relief', 'December']",['He'],[],"['December 1822', 'January 1823']",[]
3090,"['the forcing', 'December']",[],[],"['about December or January', 'a month']",[]
3091,"['January', 'the most serious illness', 'which']","['He', 'he']",[],['January 1884'],[]
3092,['Lake Superior'],[],[],"['winter', 'summer', 'November, December and January', 'all other months']",['Duluth']
3093,"['St Felix', 'the 3rd']",[],[],"['1802-1878', 'the 3rd of January 1802']",['Philibert DUPANLOUP']
3094,"['Guildford', 'Guildford']",['He'],[],['the 14th of January 1898'],[]
3095,"['Spain', 'Baltic', 'Valladolid', 'the marquis', 'the Baltic', 'the 22nd', 'the 8th']","['Napoleon', 'French troops', 'he']",[],"['the 22nd of November 1807', 'the 8th of January 1808']","[""Dupont de l'Etang""]"
3096,"['the 31st', 'the 1st']","['Moore', 'Napoleon']",[],"['the 31st of December', 'the 1st of January 1809']",['Astorga']
3097,"['Lugo', 'the sense', 'the 11th', 'his left']","['wet and bitter cold', 'he', 'he']",[],['the 11th of January 1809'],"['Corunna', 'Mero']"
3098,[],"['the transports', 'Soult']",[],['the 14th of January'],[]
3099,[],['January Soult'],[],['1809'],[]
3100,"['Adrianople', 'Balkans', 'the 9th', 'the same year', 'Theodosius', 'Theodosius']","['Valens', 'the government', 'he', 'he']",[],"['August', 'the same year', 'January 379']",['Valens']
3101,['Goalpara'],[],[],['January 1828'],['Near Goalpara']
3102,"['Honolulu', 'which', 'the name', 'effect', 'the 1st']",['this act'],[],"['1907', 'the 1st of January 1909']",[]
3103,"['January', 'the Senate', 'a recharter']","['he', 'which']",[],"['January 1832', 'fifteen-year']",['Nicholas Biddle']
3104,"['the 21st', 'January', 'his treason', 'death']","['the Convention', 'royalty', 'it']",[],"['the 21st of September 1792', 'January']",[]
3105,['the 21st'],[],[],['the 21st of January 1793'],[]
3106,['the 21st'],['The first Prayer Book'],[],"['the 21st of January 1549', 'March', 'Whitsunday, June 9th, 2549']",['Prayer Book']
3107,"['Washington', 'Valley Forge', 'a member', 'January', 'Valley Forge', 'him']",['he'],[],['January 1778'],[]
3108,"['Massachusetts', 'February', 'Congress', 'January']",['he'],[],"['February 1784', 'January 1785']",[]
3109,[],[],[],"['1837', '1840', 'January 1839 to February 1840']",[]
3110,"['Rome', 'Italy', 'Rome', 'the 9th']",['He'],[],['the 9th of January 1882'],[]
3111,"['Coloma', 'January']",['who'],[],['January of the same year'],['Marshall']
3112,"['Zizka', 'Nemecky Brod', 'the 6th']",['He'],[],['the 6th of January 1422'],"['Kutna Hora', 'Kuttenberg', 'Zizka']"
3113,"['Pelhfimov', 'Basel', 'Prokop', 'Basel', 'the 4th']","['Prolonged negotiations', 'finally a Hussite embassy']",[],['the 4th of January 1433'],"['John', 'Nicolas', 'Peter Payne']"
3114,['the most part'],['Napoleon'],[],['the 30th of January 1810'],[]
3115,"['the Restoration', 'the law']",[],[],['the 15th of January 1825'],[]
3116,"['Sweden', 'Russia', 'Finland', 'Villmanstrand', 'Fredrikshamn', 'the 23rd', 'Abo', 'the 7th', 'Russia']","['Sweden', 'which']",[],"['the 23rd of January 1743', 'the 7th of August 1743']","['Abo', 'Kymmene']"
3117,"['Great Britain', 'Prussia', 'Germany', 'Great Britain', 'Russia']","['Elizabeth', 'Great Britain']",[],"['January 16, 1756']","['Elizabeth', 'Westminster']"
3118,"['France', 'the evening', 'the court']","['The failure', 'the king']",['the evening of the 22nd of January 1761'],['1760'],['St Petersburg']
3119,"['the 6th', 'Finkenstein', 'my nephew', 'way', 'the avidity', 'the first opportunity']","['he', 'we', 'which', 'words']",[],['the 6th of January 1762'],['Frederick']
3120,['destruction'],['which'],[],"['January 5, 1762']",[]
3121,"['Lake Baikal', 'the winter', 'the bottom', 'a solid crust']","['the smaller tributaries', 'January Lake Baikal']",[],['January'],[]
3122,"['Bath', 'the 17th']",['He'],[],['the 17th of January 1792'],[]
3123,"['Missouri', 'his vote', 'January', 'a resolution']",[],[],['January 1820'],[]
3124,"['New York', 'the term', 'the 1st']",[],[],"['1828', 'the 1st of January 1829']",['Van Buren']
3125,"['February', 'the Senate', 'the 25th']",[],[],"['February', 'the 25th of January']",[]
3126,"['the 2 1st', 'an imprimatur']",['Cardinal Richard'],[],['the 2 1st of January 1903'],['Richard']
3127,"['Providentissimus of 1893', 'the Roman Inquisition', 'an encyclical', 'his prompt regret']",['he'],[],"['November 1898', 'September 1899', 'January 1897']","['Pope Leo', 'John v.']"
3128,"['Ceffonds', 'January']",['two large 8vo volumes'],[],"['1009', 'January 1908']",[]
3129,"['the 27th', 'the 25th']",['Lavigerie'],[],"['the 27th of March 1882', 'a bull of 10th November 1884', 'the 25th of January 1885']",['St Cyprian']
3130,"['England', 'the occasion', 'that body', 'January']",[],[],"['1663', 'January 1669']",[]
3131,"['the 2nd', 'the 1st']",['The trial'],[],['the 2nd of January to the 1st of March 1805'],[]
3132,"['West Roxbury', 'Boston', 'a Unitarian clergyman', 'June', 'January']",['he'],[],"['June 1837', 'January 1846']",[]
3133,"['Boston', 'January', 'his work']",['he'],[],['January 1846'],[]
3134,"['the West Indies', 'Europe', 'January', 'Europe']",['he'],[],['January 1859'],[]
3135,['the 2nd'],['Frederick William'],[],['the 2nd of January 1861'],['Frederick William']
3136,"['Smyrna', 'which', 'the stop']","['His first speech', 'he']",[],['the 22nd of January 1673'],[]
3137,"['Essex', 'January 1680 Russell', 'Charles', 'all my heart']",[],[],['January 1680'],"['Powell', 'Charles']"
3138,"['South Africa', 'Ireland', 'the departure', 'commander']",['the duke'],[],['9th of January 1900'],['Roberts']
3139,['the 8th'],['He'],[],['the 8th of January 1894'],[]
3140,[],[],[],"['January, ii']",['Acta Sanctorum']
3141,['the 19th'],['He'],[],['the 19th of January 1907'],[]
3142,"['Nika', 'the progress', 'January', 'Constantinople', 'a terrible insurrection', 'history', 'the name']","['which', 'that', 'which']",[],['January 532'],[]
3143,['the 27th'],"['The officers', 'which']",[],"['the 27th of January 1659', 'last two years']","['Richard', 'Oliver']"
