,Place,Event,Time,Date,Subject
3960,,,,March,Spoleto
3961,Leghorn,,,the 8th of March 1814,William Bentinck
3962,,,,,Pepe
3963,,,,March 1821,Charles Albert
3964,Turin,,,the 12th,Carbonari
3965,,,,1848,Chrzanowski
3966,,,,the 24th of March,Radetzky
3967,,,,the 24th of March,
3968,,,,22nd of March,Romagna
3969,,,,the 23rd of March 1872,
3970,Crispi,,,1877,Depretis
3971,Italy,,,1882,Robilant
3972,Mediterranean,,,the 6th of March 1885,
3973,,,,the 12th of June,Assab
3974,Saati,,,the 28th of March 1888,
3975,,,,the 10th of March 1889,
3976,Prince Bismarck,,,March 1890,Crispi
3977,,,,the 21st of March,
3978,Tigr,,,March 1895,Baratieri
3979,,,,,Albertones
3980,Baldissera,,,May,
3981,Radical,,,March 1897,
3982,Apulia,,,March 1902,Polesine
3983,,,,March 1905,
3984,,,,March 1909,
3985,,,,,
3986,Tripoli,,,the 21st of March 1899,
3987,Danby,,,March 1679,
3988,,,,the 19th of March 1679,
3989,,,,the 30th March,
3990,,,,the 21st of March,St Mary's
3991,,,,March 1635,
3992,Lerin,,,"March 12, 1507",
3993,,,,"March 20, 1852",
3994,Vienna,,,the fifty-ninth year,
3995,,,,February 1429,
3996,Anchin,,,the 25th of March 1606,
3997,,,,the 30th of March 1878,Consuelo
3998,,,,,
3999,Algeria,,,about three years,Colomb Bchar
4000,Ansbach,,,1527,George
4001,Miihlberg,,,April,Saxony
4002,,,,,Repton
4003,,,,the 6th of March 1521,
4004,,,,March 1607,
4005,Moluccas,,,March 1616,
4006,Moluccas,,,the 17th of September 1616,Juan Fernandez
4007,South Georgia,,,March 1774,Cook
4008,England,,,March 1790,
4009,,,,March 1770,Liakhov
4010,Edinburgh,,,the 28th of August,
4011,France,,,March 1565,
4012,Scotland,,,the earldom of March,Mary
4013,Newgate,,,three years',
4014,,,,"March i 1, 1553/4",Edward VI
4015,,,,the 6th of April,Lady Day
4016,Paris,,,the 18th of March 1829,
4017,Tus,,,March 819,
4018,India,,,the 10th of March 1527,
4019,Rome,,,the 4th of March 1887,
4020,,,,the remaining months,
4021,,,,March 1865,
4022,Goldsboro,,,the 23rd,Sherman
4023,,,,February 1895,
4024,Florida,,,the 4th of March 1906,St Augustine
4025,,,,March 1893,
4026,,,,between the 21st and the 28th of May,
4027,Vignay,,,the 13th of March 1573,
4028,Paris,,,March 1814,
4029,,,,March 1880,Latorre
4030,,,,March 1890,Herrera
4031,,,,March 1897,
4032,,,,the 1st of March 1899,
4033,Moscow,,,the 18th of March 1868,
4034,,,,March 1883,
4035,,,,December to March,
4036,Rome,,,the 27th,
4037,the Black Sea,,,March,
4038,Greece,,,the 22nd of March 1829,
4039,France,the Crimean War,,"March 30, 1856",Sevastopol
4040,St Petersburg,,,the 2nd of March 1855,Alexander II
4041,,,,the 13th of March 1881,Alexander II
4042,Afghanistan,,,March 1885,
4043,,,,February 8,Colossus
4044,,,,the 5th of March 1907,
4045,,,,the 27th of April,Nicholas II
4046,,,,the 6th of March 1907,
4047,,,,the 19th of March,
4048,Westminster Abbey,,that same evening,the 20th of March 1413,
4049,London,,,March,
4050,Rome,,,the next day,Hereupon Ignatius
4051,Rome,,,1120,
4052,,,,March 1123,Lateran
4053,Carolinas,,,1865,Sherman
4054,United States,,,the 4th of March 1881,Garfield
4055,Indianapolis,,,the 13th of March 1901,
4056,Vordingborg,,,the 28th of March 1241,
4057,,,,March 1539,St Matthews
4058,Apia,,,the 16th of March 1889,
4059,Peru,,,March,
4060,,,,March 1848,
4061,Nevada,,,the 21st of March 1864,
4062,,,,March r 5,
4063,Westminster Abbey,,,the 10th of March 1751,
4064,,,,October of the same year,
4065,,,,the 13th of March 1900 to the 1st of February 1904,
4066,Porto Rico,,,March - April,
4067,,,,the 15th of March,
4068,,,,March 1679,
4069,,,,the 24th of March 1794,Robespierre
4070,,,,March 1900,Dr Manson
4071,,,,March 1848,
4072,Ireland,,,,Bann
4073,Ireland,,,April 1642,Monro
4074,Dublin,,,the 10th of March 1653,
4075,Italy,,,the 31st of March 1783,
4076,,,,the 3rd of August 1889,
4077,,,,March 3 1,
4078,Jerusalem,,,,
4079,B.C.,,,March 161,Judas
4080,Turkey,,,(2nd March,
4081,,,,March,Cretan
4082,Canea,,,March 1905,
4083,Edinburgh,,,the 1st of March 1638,
4084,,,,March 1 9,Cambrai
4085,Germany,,,"March 18, 1413",Pierre d'Ailly
4086,,,,March,Harding
4087,,,,April,
4088,Padua,,,March 1581,
4089,,,,0 00,Gould
4090,Denmark,,,November,King Edward VII.
4091,,,,the wet months,
4092,,,,March 1803,
4093,,,,the 1st of March 1817,
4094,,,,the 29th of March 1876,Ames
4095,,,,the 15th of March 1781,
4096,Virginia,,,the 31st of March 1816,
4097,,,,,Baker Pasha
4098,,the March Revolution of 1917,,,Guchkov
4099,Texas,,,the 6th of March,Davis
4100,Texas,,,the 6th of March 1905,
4101,Lhasa,,,month,
4102,,,,the 31st of March 1795,Etienne Lasne
4103,,,,March 1849 to July 1850,Taylor
4104,,the Civil War,,1865,
4105,France,,,March,
4106,,,,March 1401,Lollard
4107,Massachusetts,,,the next six Years,
4108,Somerset,,,October,Limington
4109,Darlington,,,March 1735,George I.
4110,Gibraltar,,,November,
4111,Leicestershire,,,the 10th of March 1758,Chiverton Hartop
4112,Holland,,,the next day,Hamilton
4113,Rutlandshire,,,March 1638,Juxon
4114,,,,March 1775,Patrick Henry
4115,Richmond,,,March 1864,
4116,,,,March,
4117,,,,winter,
4118,,,,the end of March,
4119,,,,March 1896,
4120,Scotland,,,the 27th of March 1306,Bruce
4121,,,,,Edward II
4122,St Andrews,,,March of this year,Argyllshire
4123,Edinburgh,,,March 1313,Thomas Randolph
4124,Berwick,,,March 1318,Bruce
4125,Edinburgh,,,the 29th of March 1560,John Erskine
4126,France,,,9th of March,
4127,Italy,,,about the 20th of March 1794,
4128,,,,the spring of the year 1794,Josephine
4129,England,,,,Lucien
4130,,,,"March the 17th, 1808",
4131,,,,March - April 1801,Nelson
4132,the United Kingdom,,,27th of March 1803,Amiens
4133,Luneville,,,27th of March 1802,Amiens
4134,,,,March 1803,Decaen
4135,,,,21st of March 1804,
4136,,,,the end of March 1806,Joseph
4137,Prussia,,,March 1806,Berg
4138,Aranjuez,,,(19th of March 1808,
4139,,,,,Trafalgar
4140,Lisbon,,,,Sahagun
4141,Antibes,,,the 1st of March,Porto Ferrajo
4142,Paris,,,five days later,Louis XVIII
4143,,,,the Hundred Days (19th of March to 2 2nd of June 1815,
4144,,,,the 13th of March,
4145,Prussia,,,four days later,
4146,,,,March 1789 Desmoulins,
4147,,,,the end of March,Desmoulins
4148,,,,"March 9, 1862",Merrimac
4149,Bradford,,,March 1914,
4150,,,,March,Churchill
4151,,,,the 26th of March 1882,
4152,Savannah,,,"March 21, 1861",
4153,Atlanta,,,the 4th of March 1883,
4154,Teschen,,,"the 10th of March 1779,and",
4155,,,,,Ivan Mazepa
4156,Geneva,,,the 28th of March 1533,
4157,Massachusetts,,,the 21st of March 1884,
4158,,,,the spring,
4159,St Helen's,,,the 3rd of March 1703,
4160,,,,the 13th of March 1808,
4161,,,,the 21st of March 1496,
4162,,,,the 14th of March 1900,
4163,Ohio,,,March 1786,
4164,,,,the 17th of October 1803,
4165,,,,the 1st of March 1803,
4166,the United States,,,March 1849 to July 1850,
4167,Edinburgh,,,the 10th of March 1870,
4168,Turkestan,,,,
4169,,,,the 5th of March,
4170,Washington,,,the 17th of March 1776,
4171,,,,March,
4172,,,,March,
4173,Madrid,,,March,
4174,the United States,,,December 1898,
4175,,,,March 1901,
4176,the Aegates Islands,,,March,Publius Valerius Falto
4177,,,,March i to June 1,
4178,Southern Texas,,,May 15,
4179,,,,March,
4180,Ohio,,,March 4 1921,Harding
4181,Inverkeithing,,,the 12th of March 1286,
4182,Clermont,Urban II,,10 9 5,
4183,,,,"June 3, 1098",
4184,Jerusalem,,,the middle of May 1099,Raymund
4185,Syrie,,,,Rey
4186,Egypt,,,1171,Sala-ed-din
4187,Asia Minor,,,the end of March 1190,
4188,,,,the end of March 1191,Philip
4189,Cairo,,,1221,King John
4190,Cairo,,,1221,
4191,Basutoland,,,the 12th of March 1868,
4192,,,,March 1676,Giustiniani
4193,Cologne,,,March 1887,
4194,Berlin,,,the 14th of March 1891,
4195,,,,March 1851,
4196,,,,the 16th of March 1406,Ibn Khaldun
4197,,,,the 31st of March 1816,
4198,Milwaukee River,,,the middle of March,
4199,Cornwall,,,the 29th of March 1833,
4200,,,,the 7th of March 1904,
4201,Frankish,,,May,Pippin
4202,Sudetes,,,March,
4203,,,,March,
4204,Athens,,,"March 1, 86",
4205,,,,March 1816,
4206,New York City,,,January to March 1877,
4207,Vienna,,,the 11th of March 1810,St Augustine
4208,Rome,,,the 10th of March 1811,
4209,,,,"March, 1814",Louis XVIII
4210,,,,the 21st of March 1522,St Benedict
4211,,,the night of the 24th-25th of March,,Lady
4212,A.D.,,,,
4213,,,,March,
4214,D.C.,,,March 2 1921,
4215,,,,the 23rd of March 1654,Toulouse
4216,Paris,,,1657,
4217,Andrussowo,,,March 1670,
4218,,,,the 15th of November,Sherman
4219,,,,March 1768,Parry
4220,,,,the 7th of March,Daniel Webster
4221,Thermidor,,,July 1794,
4222,,,,the 13th of March 1861,
4223,Waddington,,,March 1879,
4224,,,,the 15th of March 1890,
4225,,,,25th of March 1534,Elizabeth Barton
4226,Rome,,,,
4227,,,,May 12th,
4228,Louis,,,March 834,Pippin
4229,Italy,,,the 31st of March,Charles
4230,,,,the 21st of March 1787,
4231,Somme,,,September 1792,
4232,,,,March,
4233,,,,the 10th of March 1474-5,
4234,,,,1475,
4235,Henry,,,1366,Peter
4236,,,,March 1904,Shirley
4237,,,,the 8th of March 1788,
4238,Musee,,,1853,Alexandre Edmond Becquerel
4239,Red River,,,March - May 1864,
4240,Obbia,,,March,
4241,,,,the 11th of March 1862,
4242,Abyssinia,,,a convention of March 1897,
4243,,,,the 5th of March 1905,Abdullah
4244,Brazil,,,March,
4245,,,,April 585,
4246,Paris,,,April,
4247,,,,3rd March 1878,
4248,,,,March 1902,Edward VII
4249,,,,the 20th of July,St Peter's
4250,,,,the middle ages,
4251,,,,the 12th of May of the same year,
4252,,,,the 1st of March 1808,
4253,San Domingo,,,March 1790,
4254,,,,1st January 1808,
4255,Paris,,,March 1818,
4256,,,,19th February 3rd March 1861,
4257,,,,the 17th of March 1726,
4258,,,,eighty-eighth year,Belson
4259,,,,the 9th of March,
4260,Aboukir,,,the 13th,Mandora
4261,,,,,
4262,Wales,,,March 1413,Henry V.
4263,,,,the 20th of March,
4264,,,,the end of August summer,
4265,,,,a very early date,
4266,,,,March 1853,John Quincy Adams
4267,Pontecorvo,,,,Perugino
4268,Wales,,,March the 7th,Charles
4269,Dresden,,,June 1866,
4270,,,,the 31st of March 1905.1,
4271,,,,the 23rd of March 1805,
4272,,,,March 1864,
4273,,,,the 28th of July 1906.1,
4274,,,,The months of February and March,
4275,,,,Two years later,
4276,,,,March 1851,Ali
4277,Italy,,,,
4278,,,,March 1897,
4279,,,,1910,
4280,Bagdad,,,"March 5, 1903",
4281,,,,"March 26, 1906",
4282,,,,the 26th of March 1906,
4283,Karamania,,,,Timur Tash Pasha
4284,,,,,
4285,Kurdistan,,,1515,
4286,France,,,March 7,
4287,Holland,,,the 28th of May 1736,
4288,Russia,,,"March 10, 1779",khan
4289,,,,,Danube
4290,Rustchuk,,,,Mustafa Bairakdar
4291,Great Britain,,,the 25th of March 1823,
4292,Russia,,,March 1825,
4293,London,,,the 22nd of March 1829,
4294,Asia,,,the 22nd of March,Poti
4295,Russia,,,the 27th of March 1854,
4296,Holland,,,the 10th of March 1870,
4297,San Stefano,,,the 3rd of March 1878,
4298,,,,the 23rd,Salonica
4299,,,,March,
4300,Austria,,,April 1415,
4301,,,,,
4302,,,,,Ulm
4303,,,,April,Rostov
4304,,,,,April Madera
4305,,,,the 10th of April 1887,Sherif
4306,Rome,,,the 24th of July,
4307,,,,April,
4308,,,,the r6th of April,
4309,Australia,,,the 19th of April 1770,Cook
4310,Botany Bay,,,the 28th of April 1770,Cape St George
4311,Cogoon,,,3rd of April 1848,
4312,,,,the 21st of April,Gosse
4313,,,,May,bush
4314,,,,April 1908,
4315,,,,April 217,Macrinus
4316,France,,,April 3,Mary
4317,Rome,,,,April Pius
4318,,,,28 years,Nugent
4319,Rome,,,the 25th of April,Garibaldi
4320,,,,April,Lieut
4321,Turin,,,three days,Piedmont
4322,Turin,,,the 2nd of April 1860,
4323,Sicily,,,the 5th of April 1860,Francesco Crispi
4324,,,,the 8th of April 1866,
4325,Italy,,,the 9th of April 1878,Visconti-Venosta
4326,Ethiopia,,,the 10th of April 1891,Victoria Nyanza
4327,,,,4th April 1887,
4328,,,,April 1892,
4329,Great Britain,,,the 15th of April 1891,Kassala
4330,Stevani,,,a few days later,Tucruff
4331,Great Britain,,,the 29th of April 1896,
4332,Mediterranean,,,April 1899,
4333,Alessandria,,,the 17th of April,
4334,,,,April 1909,Spingardi
4335,,,,the 21st of April,
4336,,,,April 1695,
4337,Wimbledon,,,the 23rd of April 1698,Peter the Great
4338,,,,April 1791,
4339,,,,the first week of April Convocation,Arthur
4340,Brackley,,,April,
4341,Bonn,,,the 27th of April 1887,
4342,Manfredi,,,April 1501,
4343,Greenwich,,,the 19th of April 1012,
4344,Tahiti,,,the 12th of April 1769,James Cook
4345,Miihlberg,,,April,Saxony
4346,Abyssinia,,,April 1520,Francisco Alvarez
4347,the Cape of Good Hope,,,April 1595,
4348,Bungo,,,April 1600,
4349,Easter Island,,,the 6th of April 1722,Jacob Roggewein
4350,Pacific,,,April 1768,
4351,,,,mid-ocean,
4352,,,,December,
4353,,,,April,
4354,,,,April,Bothwell
4355,,,,the 14th of April 1578,
4356,,,,the 6th of April,Lady Day
4357,Albany,,,April 1483,Edward
4358,Long Island,,,the 29th of April 1827,
4359,London,,,the 28th of April 1865,
4360,Gyongybs,,,April 1849,
4361,,,,the third year,
4362,,,,the 20th of April 1558,
4363,,,,the 21st of April 1526,Ibrahim
4364,B.D.,,,April and November of the same year,
4365,,,,April to August,Hillah
4366,Paris,,,the 12th of April 1839,
4367,,,,April 1908,Asquith
4368,,,,April 35 2,
4369,Prince Paskevich,,,the 8th of June,Gorchakov
4370,,,,the first day,
4371,,,,the 27th of April 1906,
4372,,,,the 27th of April,Nicholas II
4373,London,,,"April 3, 10 and 17, 1908",
4374,Pyrenees,,,1497,Xavero
4375,India,,,"April 7th, 1541",Martim Alfonso de Sousa
4376,,,,four months,St Thomas
4377,Santa Cruz,,,the 25th of April 1552,
4378,,,,November,
4379,Netherlands,,,August of the same year,Margaret
4380,,,,their first winter,
4381,,,,1737,
4382,London,,,3rd April 1752,Gibbon
4383,,,,more than a year,
4384,,,,April 1781,
4385,,,,April 1793,
4386,Germany,,,October 1347,Charles of Moravia
4387,,,,October to April,
4388,the Carson Valley,,,April 1908.5,Biological Survey
4389,Boston,,,April 1919,
4390,Edinburgh,,,1736,Gloucester
4391,Porto Rico,,,March - April,
4392,,,,April 1647,
4393,Great Britain,,,the 20th April 1661,Anglesey
4394,,,,the same year,
4395,Oxfordshire,,,the 26th of April 1686,
4396,,,,April to September,Celli
4397,Dungannon,,,April 1562,Turlough Luineach O'Neill
4398,Spain,,,April 1596,
4399,Rome,,,the same year,Tyrconnel
4400,,,,April 1642,Scots
4401,Ireland,,,April 1642,Monro
4402,Jerusalem,,,April 11,Richard
4403,,,,the 14th of April 1883,
4404,,,,May 15,
4405,,,,April to December,
4406,,,,April 1900,
4407,Vamos,,,April 1896,
4408,Austria,,,April 1898,
4409,Cretan,,,June,
4410,,,,April,Easter
4411,,,,April,
4412,Gulf,,,January to April,
4413,the Mountain Region,,,1910,
4414,North Carolina,,,2 1819 i 1888 and 1899,
4415,Florida,the New World,,1620,Arthur Barlowe
4416,North Carolina,,,the 9th of April 1585,Richard Grenville
4417,,,,the same day,
4418,,,,the 12th of April 1776,
4419,West,,,April,
4420,Asia,,,May,
4421,Bignonia,,,April to June,Acacia
4422,Europe,,,April,
4423,,,,April 1823,Cheltenham
4424,,,,April 1920,Stamboliiski
4425,Mirabeau,,,April 1790,
4426,,,,April 1791,
4427,,,,April 1791,
4428,,,,August 1788,Pitt
4429,,,,the 1st of April 1204,
4430,,,,October,
4431,,Revolution,,May,Dijon
4432,Maurepas,,,April 1776,Malesherbes
4433,Richmond,,,1845,Luther Libby
4434,,,,1742,c. 1685-1744
4435,,,,the 2nd of April 1865,Petersburg
4436,,,,3rd April,Godfrey Weitzel
4437,Cerealia,,,April 12 to 19,Libera
4438,,,the night,a few days,
4439,,,,May,
4440,,,,the end of March,
4441,the United Kingdom,,,the 30th of April,
4442,,,,April 1824,
4443,Ireland,,,a year and a half,Edward
4444,Ayr,,,the 25th of April 1315,Marjorie
4445,Arbroath,,,April 1320,Judas Maccabaeus
4446,,,,April 1797,Barthelemy
4447,the Suez canal,,,,
4448,,,,the 30th of April 1802,
4449,,,,March - April 1801,Nelson
4450,,,,(21st of April,
4451,,,,April - May 1802,Bonaparte
4452,,,,the 23rd of September 1802,
4453,,,,18th of April 1802,
4454,France,,,the 21st of September 1802,
4455,,,,the 4th of April,
4456,,,,the 10th of April,
4457,England,,,April,
4458,Vienna,,,the 2nd of April,
4459,Paris,,,15th of April,
4460,Prussia,,,April,Francis of Austria
4461,Talleyrand,,,morrow,
4462,,,,,
4463,,,,the nth of April,
4464,London,,,April 1744,Lady Sophia Fermor
4465,Mirabeau,,,April 1791,Danton
4466,,,,April,
4467,,,,"April 1 3, 1794",
4468,,,,April 1866,Claiborne Clay
4469,,,,"April 26, 1607",Poynt Comfort
4470,New Haven,,,the 28th of April 1903,
4471,,,,April 6 and August 23,Elizabeth
4472,England,,,autumn,
4473,,,,eight months,Thorn
4474,Stephen,,,the 6th of April 1152,Theobald
4475,Strassburg,,,April 1792,Rouget de Lisle
4476,Italy,,,April 1895,
4477,Michigan,,,April 1802,
4478,,,,the 17th of October 1803,
4479,,,the night of the 18th of April 1775,1723,
4480,,,,April of 1888 and 1902,
4481,Fort George,,,the 29th of May,James Lucas
4482,New York,,,the 4th of June,
4483,,,,the 6th of April 1830,Louis II
4484,,,,May,
4485,North Carolina,,,late as April 15,
4486,,,the morning of the 19th of April 1906,,
4487,,,,April 18 J 7,
4488,,,,April 12,Harding
4489,Maurice,,,the 9th of April 1609,Oldenbarneveldt
4490,the Hague on the 4th of April 1625,,,,
4491,,,,April 1897,
4492,,Urban II,,May 1096,
4493,Illyria,,,the end of April 1097,Bishop Adhemar
4494,May Baldwin,,,April Constantinople,
4495,Orange Springs,,,the season from January to April,Daytona
4496,Mackinac,,,the 17th of April,
4497,France,,,April 1816,Madison
4498,New York,,,half a century,
4499,Angouleme,,,two years,Francis I.
4500,New York City,,,the 13th of April 1894,
4501,,,,the 11th of April 1895,
4502,,,,the 12th of April 1908,
4503,Catania,,,the 20th of April 1676,
4504,,,,13th of April,Catherine
4505,,,,April,
4506,Rome,,,the 21st of April,Parilia
4507,,,,the 20th of April 1858,Whitlock
4508,,,,April 1859,
4509,England,,,April 1862,
4510,,,,May 12th,
4511,,,,April 1904,
4512,,,,April 1763,
4513,Venice,,,"April 25, 1493",Naples
4514,Sforzas,,,April,
4515,Paris,,,the 4th of April,
4516,,,,the 24th of April,Lebois
4517,,,,April 1797,Buonarroti
4518,England,,,November 1357,John
4519,Philadelphia,,,five days',
4520,,,,October - December,
4521,Galadi,,,April,
4522,,,,the 17th of April,
4523,,,,the 23rd of April,
4524,,,,April 1904,
4525,London,,,the 2nd of April 1820,
4526,,,,April 585,
4527,Toledo,,,the 21st of April 586,Recared
4528,,,,April 1907,
4529,Paris,,,April,
4530,,,,20th April 1884,Supremi
4531,the Roman Catholic,,,14th April 1895,
4532,the West Indies,,,the 18th of April of the latter year,
4533,,,,the 1st of January 1796,
4534,,,,the 29th of April 1878,
4535,,,,April,bush
4536,Oxford,,,April 1726,
4537,Georgia,,,October,Charles Delamotte
4538,,,,April 1736,
4539,,,,April 1798,Clare
4540,France,,,1798,
4541,,the French Revolution,,April 1791,Mackintosh
4542,,,,the end of August summer,
4543,the Central Park,,,the 2nd of April 1872,
4544,South Africa,,,April,
4545,Europe,,,the 2nd of April,
4546,,,,1st of April 1908,
4547,Louisiana,,,the 30th of April 181 2,
4548,Louisiana,,,1852,
4549,,,,the 20th of April 1877,
4550,,,,April 1884,
4551,the United States,the War of Independence,,1902,
4552,the United States,,,the 20th of April,
4553,,,,the 1st of April 1909,
4554,Shiloh,,,April 6/7,
4555,,,,that year,Flora McDonald
4556,,,,the 9th of April 1761,Law
4557,Paris,,,the 22nd of April 1910,
4558,,,,the year 1909-1910,
4559,,,,1910-1911,
4560,,,,the 11th of April 1909,Ernest Cassel
4561,Dalmatia,,,"June 5, 1713",
4562,Morea,,,the beginning of April,
4563,Athens,,,June 1827,
4564,Great Britain,,,April,
4565,Great Britain,,,the 6th of July,
4566,,,,the 21st of April,
4567,,,,the 22nd of April,Menshikov
4568,Russia,,,the 24th of April 1877,
4569,Turkey,,,the 17th of April 1897,
4570,,,,April,Serbesti
4571,,,,April 14,Tewfik Pasha
4572,San Stefano,,,"April 22, 1909",
4573,,,five hours,April 25,
4574,Austria,,,April 1415,
4575,Berthier,,,the 15th of April,
4576,,,,the 9th of April,
4577,Dresden,,,April,
4578,,,,the 25th of April,
4579,Egypt,,,the 5th of April,
4580,Martinique,,the night of the 9th,the 14th of May,Cadiz
4581,Vienna,,,April 8),
4582,,,,April 1563,
4583,,,,"February 8, 1876",
4584,,,,the end of April,
4585,San Francisco,,,June,
4586,,,,April,
4587,the Isle of Man,,,April,Whitley
4588,Lisbon,,,the 22ndof April 1809,Arthur Wellesley
4589,Portugal,,,"April 3, 1811",
4590,Almeida,,,the 9th of April 1811,Massena
4591,Badajoz,,the night of the 7th of April,1812,
4592,Yecla,,,April 13,John Murray
4593,,,,April 3,Hill
4594,Wellington,,,the 10th of April,Soult
4595,Wellington,,the night of the nth,the 12th of April,Soult
4596,Wellington,,,the 18th,Suchet
4597,,,,the summer,
4598,Massachusetts,,,May 1827,
4599,,,,the 15th of,
4600,,,,April 1899,St Kilda
4601,Boston,,,April 1776,
4602,Massachusetts,,,the 25th of April 1811,
4603,Nicaragua,,,April,
4604,France,,,April 1904,
4605,Horic,,,"the 27th of April 1423, Zizka",
4606,,,,April 1771,
4607,,,,' days,
4608,Siberia,,,October than April,
4609,,,,June,Van Buren
4610,Texas,,,the 27th of April,
4611,,,,the 27th of April 1804,Surrey
4612,Spain,the Peninsular War,,April 1809,Roads
4613,,,,April 1907,Lorraine
4614,,,,April 1901,
4615,,,,the 4th of April 1870,
4616,Carbiesdale,,,the 27th of April,Ross
4617,,,,the 21st of April 1893,Knowsley
4618,,,,the 12th of April 1870,
4619,Norrkoping,,,30th of April 1800,Nordin
4620,,,,April 4,
4621,the Baltic Landeswehr,,,April 16 1919,Needra
4622,Germany,,,April 18,
4623,,,,April 16 1919,
4624,Temple,,,April 1679,Charles
4625,,,,the 6th of April,
4626,,,,the 10th of April,
4627,,,,the month of April,
4628,,,,the 8th of April 1906,
4629,,,,the 17th of January 1910,
4630,Brazil,,,"April 24, 1907",
4631,Goyaz,,,November to April,Matto Grosso
4632,,,,April 1549,
4633,Paris,,,April 1871,
4634,Santa Petronilla,,,the 18th of May,
4635,,,,April 1555,
4636,Montalcino,,,1559,
4637,Mississippi,,,April 1865,Davis
4638,,,,the 17th of April 1805,
4639,Paris,,,the 10th of April 1760,
4640,,,,April 17,
4641,,,,11 th of April,
4642,Derby,,,April 1842,George Napier
4643,Great Britain,,,April 1877,Theophilus Shepstone
4644,,,,the 2nd of April,
4645,,,,3701,
4646,Maritzburg,,,1905,
4647,Greaf Britain,,,the 1.8th of April,Monroe
4648,Louisiana,,,the 12th of April,Livingston
4649,England,,,April 183 7,
4650,London,,,the 2nd of April 1865,
4651,West Lavington,,,the 7th of April,
4652,Berlin,,,the 28th of April 1896,
4653,Vienna,,,November 1606,
4654,,,,"April 30, 1671",Peter Zrinyi
4655,Szatmar,,,two days later,the Archduke Charles
4656,Croatia,,,the 14th of April,Baron Jellachich
4657,,,,April 19,Vácz
4658,the Hungarian Republic,,,the 14th of April,
4659,Magyar,,,April 7,
4660,,,,the appoint- 1906,
4661,Magyar,,,April 1906,
4662,,,,the 27th of April,Dr Wekerle
4663,Rome,,,April 1607,
4664,Richelieu,,,the 7th of April 1618,
4665,,,,April 1624,
4666,,,,8th of April and 30th of May 1848,
4667,New York,,,April 1865,
4668,New York,,,the 18th of April 1888,
4669,Budapest,,,the summer of 1907,
4670,,,,April 3,Cuvaj
4671,Dalmatia,,,April 27 1915,
4672,,,,April 8,
4673,,,,April 16,
4674,Germany,,,April 23,Wilson
4675,Siberia,,,April 1741,Ivan VI.
4676,London,,,the 23rd of April 1016,Mercia
4677,Herrnsheim,,,the 27th of April 1833,
4678,Geneva,,,the 15th of April 1894,
4679,Silvester II,,,April 999,pope
4680,Drakensberg,,,between January and April,
4681,"garrison),1",,,the 17th of April 1904,
4682,South Africa,,,904 Malays,
4683,Tati,,,April 1868,Efforts Bechuanaland
4684,,,,the 12th of April 1877,Theophilus Shepstone
4685,Pretoria,,,April,
4686,,,,April 1880,
4687,Pietersburg,,,April Plumer,
4688,,,,a few days later,
4689,,,,1889,
4690,,,,the 2 2nd,
4691,,,,April 1687,
4692,,,,April 1688,
4693,,,,April to October,
4694,,,,"April 11, 1903",
4695,Venezuela,,,April 1895,Guiana
4696,,,,April 1626,Wallenstein
4697,,,,the 9th and 12th of April near Dominica,
4698,,,,April of 1794,
4699,London,,,the 4th of April 1743,
4700,Palermo,,,April 1898,
4701,Liberals,,,12th April 1850,
4702,,,,21st May,Adams
4703,,,,the 5th of April,Henry Campbell-Bannerman's
4704,the Licensing Bill,the Universities Bill,,1908,Winston Churchill's
4705,,Montauban,,the 20th of April 1899,
4706,,,,the 15th of April 1889,
4707,New York,,,the 4th of April 1883,
4708,Bastille,,,April 1718,Daumart
4709,Brussels,,,April 1739,
4710,,,,centuries,
4711,London,,,the season of the year,Majesty
4712,,,,April 1891,John Graunt
4713,,,,the middle of April,
4714,,,,the 14th of April 1890,Murray
4715,,,,the 2nd of April,
4716,,,,the middle of April,Chelmsford
4717,,,,April 1889,St Helena
4718,Helles,,,April 25,
4719,,,,May 13,Cattaro
4720,,,,April 27,Leon Gambetta
4721,Straits,,,April,Sari Bair
4722,,,,April,Anzac
4723,Lubeck,,,the 16th of April 1820,Georg Curtius
4724,Gentz,,,April,
4725,,,,the 3rd of April,
4726,,,,ten years',
4727,,,,April 1892,
4728,,,,a few months,Winchester
4729,Canterbury,,,the 14th of April 1322,
4730,,,,April 1904,
4731,Lorenzo,,,five years,Lorenzo
4732,Catharine II,,,April 1759,
4733,,,,the 21st of April 1768,
4734,Alcoy,,,April,St George
4735,,,,1901,Lloyd George
4736,,,,the 25th of April 1660,Bath
4737,,,,April 1664,
4738,Munich,,,the 10th of April 1873,Giessen
4739,the Wadi Sirhan,,,the hot summer months,Jauf
4740,central Arabia,,,between October and April,
4741,,,,April,
4742,Kerbela,,,centuries,Abdul Aziz
4743,Deraiya,,,the 14th of April 1818,Huremala
4744,Medina,,,the end of the month,Ahmad Feizi Pasha
4745,,,,April 1792,Collot d'Herbois
4746,Italy,,,the 19th of April 1251,
4747,,,,six days,Seekreis
4748,Kandern,,,the 10th of April,Hecker
4749,,,,each season,
4750,,,,"April 30, 1555",
4751,Boston,,,1778,
4752,,,,the 18th of April 1636,King James
4753,,"the ""Mills Bill",,April 1888,
4754,England,,,April 1612,Edward Wightman
4755,Spain,,,April 1898,McKinley
4756,,,,November to April,
4757,,,,February to April,
